filepath,machine,condition,label
dataset/MIMII/pump/abnormal/00000030.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/slider/normal/00000034.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/normal/00000031.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/normal/00000001.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/abnormal/00000006.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/pump/abnormal/00000020.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/valve/abnormal/00000022.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/pump/normal/00000034.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/abnormal/00000000.wav,valve,abnormal,Valve_Anomaly
dataset/MIMII/slider/abnormal/00000038.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/abnormal/00000006.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/slider/normal/00000012.wav,slider,normal,SlideRail_Normal
dataset/MIMII/slider/normal/00000019.wav,slider,normal,SlideRail_Normal
dataset/MIMII/pump/abnormal/00000010.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/pump/normal/00000009.wav,pump,normal,Pump_Normal
dataset/MIMII/slider/normal/00000026.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000016.wav,fan,normal,Fan_Normal
dataset/MIMII/slider/abnormal/00000040.wav,slider,abnormal,SlideRail_Anomaly
dataset/MIMII/fan/normal/00000038.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/abnormal/00000011.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/slider/normal/00000023.wav,slider,normal,SlideRail_Normal
dataset/MIMII/fan/normal/00000012.wav,fan,normal,Fan_Normal
dataset/MIMII/pump/abnormal/00000022.wav,pump,abnormal,Pump_Anomaly
dataset/MIMII/fan/normal/00000030.wav,fan,normal,Fan_Normal
dataset/MIMII/fan/abnormal/00000002.wav,fan,abnormal,Fan_Anomaly
dataset/MIMII/valve/normal/00000043.wav,valve,normal,Valve_Normal
dataset/MIMII/pump/normal/00000041.wav,pump,normal,Pump_Normal
dataset/MIMII/valve/normal/00000012.wav,valve,normal,Valve_Normal
